City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
3,Atuona,PF,80.11,-9.8,-139.0333,Villa Enata
5,Merauke,ID,77.47,-8.4667,140.3333,
6,Narasannapeta,IN,79.41,18.4167,84.05,G.lingaraju home
8,Lampang,TH,87.01,18.3333,99.5,Mrs Luis Guest House
10,Santa Isabel Do Rio Negro,BR,82.78,-0.4139,-65.0192,Hotel GSA
15,Bambous Virieux,MU,78.8,-20.3428,57.7575,Casa Tia Villa
17,Alofi,NU,80.6,-19.0595,-169.9187,Taloa Heights
18,Morondava,MG,76.44,-20.2833,44.2833,La Case Bambou
26,San Patricio,US,84.2,28.017,-97.5169,"Motel 6 Sinton, TX"
27,Butaritari,KI,82.51,3.0707,172.7902,Isles Sunset Lodge
28,Vila Velha,BR,78.8,-20.3297,-40.2925,Quality Suites Vila Velha
29,Vaini,TO,80.6,-21.2,-175.2,Keleti Beach Resort
32,Rikitea,PF,79.09,-23.1203,-134.9692,Pension Maro'i
36,Puerto Ayora,EC,84.2,-0.7393,-90.3518,Finch Bay Galapagos Hotel
37,Kapaa,US,80.6,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
46,Mar Del Plata,AR,75.2,-38.0023,-57.5575,Gran Hotel Mar del Plata
47,Georgetown,MY,79.0,5.4112,100.3354,Cititel Penang
49,Trinidad,BO,86.0,-14.8333,-64.9,Hotel Piesta
51,Palembang,ID,73.29,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
52,Senador Jose Porfirio,BR,80.08,-2.5908,-51.9542,Pousada Novo Horizonte
53,Cayenne,GF,78.01,4.9333,-52.3333,Hôtel Le Dronmi
55,Hurghada,EG,78.8,27.2574,33.8129,Sea Star Beau Rivage Hotel
56,Arraial Do Cabo,BR,75.2,-22.9661,-42.0278,Pousada Porto Praia
63,Yaring,TH,78.76,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
68,Cockburn Town,TC,82.4,21.4612,-71.1419,Osprey Beach Hotel
78,Uruguaiana,BR,84.2,-29.7547,-57.0883,Fares Turis Hotel
80,San Policarpo,PH,76.71,12.1791,125.5072,JM Lodge
84,Dhadar,IN,75.88,28.3305,75.0632,ढाढर
85,Aloleng,PH,77.81,16.1307,119.7824,Agno Umbrella Rocks
87,Paraiso,CR,80.6,9.8383,-83.8656,Rinconcito Verde
91,Valavanur,IN,81.81,11.9209,79.5824,Abduls house
92,Hilo,US,75.2,19.7297,-155.09,Hilo Hawaiian Hotel
96,Rock Sound,BS,76.24,24.9,-76.2,Rock Sound Club
98,Jawhar,SO,81.05,2.7809,45.5005,cosoble spare parts
100,Codajas,BR,79.93,-3.8367,-62.0569,Hotel Tamires
101,Yala,TH,74.75,6.3333,101.25,งานแต่ง Murnee - Wahid
105,Sao Filipe,CV,72.34,14.8961,-24.4956,Tortuga B&B
107,Selu,IN,85.71,19.4667,76.4667,Bhumare M.G
119,Souillac,MU,78.8,-20.5167,57.5167,Shanti Maurice Resort & Spa
121,Lang Son,VN,75.02,21.8333,106.7333,Khai Nga Hotel
122,Mango,US,86.0,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
124,Lazaro Cardenas,MX,85.5,17.9583,-102.2,Hotel Quinta Antigua
125,Santa Maria,BR,82.4,-29.6842,-53.8069,Hotel Morotin
135,Saint-Philippe,RE,77.0,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
138,Namibe,AO,78.69,-15.1961,12.1522,Hotel Chik Chik Namibe
141,Prainha,BR,81.52,-1.8,-53.48,Casa Rocha
146,Tadine,NC,77.04,-21.55,167.8833,
147,Antalaha,MG,73.11,-14.9003,50.2788,Hotel Vitasoa
148,Cap Malheureux,MU,78.01,-19.9842,57.6142,Pereybere Hotel & Spa
149,Gurupi,BR,80.87,-11.7292,-49.0686,Via Norte Hotel
153,Karratha,AU,75.24,-20.7377,116.8463,ibis Styles Karratha
157,Atar,MR,83.19,20.5169,-13.0499,Oumou Elghoura
158,Rodrigues Alves,BR,89.6,-7.7379999999999995,-72.6509,Pousada Aconchego
163,Galle,LK,80.78,6.0367,80.217,Amangalla
168,Vikarabad,IN,81.0,17.3333,77.9,Hotel PRINCE DELUXE LODGE
174,Panguna,PG,70.09,-6.3164,155.4848,
175,Tautira,PF,84.2,-17.7333,-149.15,Pension Oaoa
180,Tecoanapa,MX,86.45,16.5167,-98.75,Hotel Manglares
181,Dingle,PH,76.15,10.9995,122.6711,SEGAYA PROPERTY
182,Damnagar,IN,83.12,21.7,71.5167,MARUTI lemon soda shops
185,Mahebourg,MU,78.8,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
186,El Campo,US,77.0,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
187,Cidreira,BR,70.61,-30.1811,-50.2056,Hotel Castelo
188,Marrakesh,MA,71.6,31.6315,-8.0083,Novotel Marrakech Hivernage
189,Faanui,PF,80.53,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
190,Canavieiras,BR,76.86,-15.675,-38.9472,Bahiadomizil
195,High Rock,BS,80.6,26.6208,-78.2833,Hideaway Bahamas Beach Club
197,Grand Gaube,MU,78.01,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
