City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Norfolk,-42.7826,147.0587,51.01,85,97,1.01,AU,2021-04-23 20:42:26
1,Ushuaia,-54.8,-68.3,42.8,87,75,2.3,AR,2021-04-23 20:39:45
2,Nemuro,43.3236,145.575,38.66,84,100,14.34,JP,2021-04-23 20:42:26
3,Atuona,-9.8,-139.0333,80.11,80,28,22.08,PF,2021-04-23 20:41:47
4,Yerbogachen,61.2767,108.0108,27.82,87,95,6.49,RU,2021-04-23 20:42:26
5,Merauke,-8.4667,140.3333,77.47,88,74,5.64,ID,2021-04-23 20:42:27
6,Narasannapeta,18.4167,84.05,79.41,84,98,2.62,IN,2021-04-23 20:42:27
7,Bredasdorp,-34.5322,20.0403,50.0,93,99,4.61,ZA,2021-04-23 20:42:27
8,Lampang,18.3333,99.5,87.01,67,36,2.75,TH,2021-04-23 20:42:28
9,Ilulissat,69.2167,-51.1,35.6,69,100,3.44,GL,2021-04-23 20:42:28
10,Santa Isabel Do Rio Negro,-0.4139,-65.0192,82.78,79,72,3.67,BR,2021-04-23 20:42:28
11,Albany,42.6001,-73.9662,60.01,20,5,4.0,US,2021-04-23 20:38:17
12,Temnikov,54.6302,43.2148,46.0,79,43,6.04,RU,2021-04-23 20:42:29
13,Prince George,53.9166,-122.753,52.0,21,1,5.75,CA,2021-04-23 20:40:06
14,Jamestown,42.097,-79.2353,53.6,32,1,16.11,US,2021-04-23 20:42:29
15,Bambous Virieux,-20.3428,57.7575,78.8,78,75,10.36,MU,2021-04-23 20:42:30
16,Sitka,57.0531,-135.33,57.2,26,1,4.61,US,2021-04-23 20:42:30
17,Alofi,-19.0595,-169.9187,80.6,94,40,4.61,NU,2021-04-23 20:42:30
18,Morondava,-20.2833,44.2833,76.44,80,0,8.55,MG,2021-04-23 20:42:31
19,Hermanus,-34.4187,19.2345,60.01,82,99,4.41,ZA,2021-04-23 20:39:17
20,Krasnoselkup,65.7,82.4667,29.57,88,90,17.22,RU,2021-04-23 20:42:31
21,Tasiilaq,65.6145,-37.6368,39.2,45,90,5.75,GL,2021-04-23 20:42:32
22,Mataura,-46.1927,168.8643,45.0,95,53,1.01,NZ,2021-04-23 20:42:32
23,Norman Wells,65.282,-126.8329,30.2,40,40,11.5,CA,2021-04-23 20:42:32
24,Yazykovo,55.2199,56.1353,44.38,93,100,6.22,RU,2021-04-23 20:42:34
25,Lebu,-37.6167,-73.65,57.76,81,41,7.87,CL,2021-04-23 20:42:34
26,San Patricio,28.017,-97.5169,84.2,74,75,21.85,US,2021-04-23 20:42:34
27,Butaritari,3.0707,172.7902,82.51,75,92,10.85,KI,2021-04-23 20:42:35
28,Vila Velha,-20.3297,-40.2925,78.8,65,20,5.75,BR,2021-04-23 20:40:06
29,Vaini,-21.2,-175.2,80.6,89,20,2.3,TO,2021-04-23 20:42:35
